"id_car","post_code_mov","id_cluster","nm_nome_cleaned","conteggio","id_macro_prod_iss","te_macro_prod_iss","id_fam_prod_iss","te_fam_prod_iss","id_ctg_2","te_ctg_2","id_macro_ctg_2","te_macro_ctg_2"
"64B470A797C9DF0D19E38BB7ED51BF5A","63074","0000001076","FARMACIA TOMASSINI","9","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"167286673D13837435DA41A80192035B","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"167286673D13837435DA41A80192035B","63074","0000000090","FARMACIA LAURI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"30D5D21BE70405E9A071A84801B75C00","63074","0000000090","FARMACIA LAURI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"30D5D21BE70405E9A071A84801B75C00","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"3397E754F37DE8869DBFF1F40614E061","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"778082C20D78C5C496E649F04F3740E1","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"AD75C12303BF9CBC59DCE7F46364966D","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"C609E001AEA115AED366D69F8AE358DB","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"3E4C36D909C9A20BF66394E304285AC6","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"4762498485AB366F13AEEAA6602C4B8D","63074","0000001076","FARMACIA TOMASSINI","2","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"56A68522DF7D0361A41F2FCD66C936E7","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"7B3DB1A01474E8AE5F287BA83440732E","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"8B30B386FE81D2F77D59E1BBF373D8B3","63074","0000001076","FARMACIA TOMASSINI","3","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"A95A912A351F271117A1F631E1712492","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
"03BACF452C45AAE59AAD97BB48498ADB","63074","0000002682","BATUFFOLI COCCOLE","1","1","Classic","1","Classic e Rateali","30","GRANDE DISTRIBUZIONE NON ALIMENTARE","7","RETAIL"
"2BA02675B512A5066F85BF20BC8D42DF","63074","0000001076","FARMACIA TOMASSINI","1","1","Classic","1","Classic e Rateali","34","PRODOTTI SANITARI","7","RETAIL"
